hotel_title,near_by_places,amenities,review_text,review_numbers,rating,stars,address,description
Econolodge,{},{'Most popular facilitiesOutdoor swimming poolFree parkingNon-smoking roomsRoom serviceFree WifiFamily roomsBreakfast': True},Good,· 80 reviews,Scored 7,3,"1421 Martin Luther King Junior Expressway, Andalusia, AL 36420, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account. – Great location - show map",
,{},{'Most popular facilitiesIndoor swimming poolFree parkingNon-smoking roomsFitness centreRoom serviceFacilities for disabled guestsFree WifiFamily roomsBreakfast': True},Good,· 72 reviews,Scored 7.4,3,"5253 Harding Avenue, Plover, WI 54467, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account. – Great location - show map",
