hotel_id,hotel_source,hotel_name,room_name,bed_type,bed_category,room_category,available_rooms,room_facilities,base_price,tax_price,total_price,checkin,checkout,hotel_url
BOOKING_1,booking,Us,Double Room,twin bedsand,Twin,Normal,0,"['650 m²', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Bathrobe', 'Toilet', 'Towels', 'Linens', 'Desk', 'Tea/Coffee maker', 'Microwave', 'Heating', 'Wake-up service', 'Dining table', 'Clothes rack', 'Toilet paper']",7026.0,1019.0,8045.0,2025-11-18,2025-11-19,https://www.booking.com/hotel/us/econolodge-andalusia.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&all_sr_blocks=1047393001_377033255_2_1_0&checkin=2025-11-01&checkout=2025-11-05&dest_id=10473930&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1047393001_377033255_2_1_0&hpos=1&matching_block_id=1047393001_377033255_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1047393001_377033255_2_1_0__31660&srepoch=1759421509&srpvid=2fc671ddeea902a0&type=total&ucfs=1&
BOOKING_1,booking,Us,Double Room,twin bedsand,Twin,Normal,0,"['650 m²', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Bathrobe', 'Toilet', 'Towels', 'Linens', 'Desk', 'Tea/Coffee maker', 'Microwave', 'Heating', 'Wake-up service', 'Dining table', 'Clothes rack', 'Toilet paper']",7026.0,1019.0,8045.0,2025-11-19,2025-11-20,https://www.booking.com/hotel/us/econolodge-andalusia.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&all_sr_blocks=1047393001_377033255_2_1_0&checkin=2025-11-01&checkout=2025-11-05&dest_id=10473930&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1047393001_377033255_2_1_0&hpos=1&matching_block_id=1047393001_377033255_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1047393001_377033255_2_1_0__31660&srepoch=1759421509&srpvid=2fc671ddeea902a0&type=total&ucfs=1&
BOOKING_1,booking,Econolodge,Double Room,twin bedsand,Twin,Normal,0,"['650 m²', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Bathrobe', 'Toilet', 'Towels', 'Linens', 'Desk', 'Tea/Coffee maker', 'Microwave', 'Heating', 'Wake-up service', 'Dining table', 'Clothes rack', 'Toilet paper']",7026.0,1019.0,8045.0,2025-11-20,2025-11-21,https://www.booking.com/hotel/us/econolodge-andalusia.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&all_sr_blocks=1047393001_377033255_2_1_0&checkin=2025-11-01&checkout=2025-11-05&dest_id=10473930&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1047393001_377033255_2_1_0&hpos=1&matching_block_id=1047393001_377033255_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1047393001_377033255_2_1_0__31660&srepoch=1759421509&srpvid=2fc671ddeea902a0&type=total&ucfs=1&
BOOKING_1,booking,Us,Double Room,twin bedsand,Twin,Normal,0,"['650 m²', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Bathrobe', 'Toilet', 'Towels', 'Linens', 'Desk', 'Tea/Coffee maker', 'Microwave', 'Heating', 'Wake-up service', 'Dining table', 'Clothes rack', 'Toilet paper']",7026.0,1019.0,8045.0,2025-11-21,2025-11-22,https://www.booking.com/hotel/us/econolodge-andalusia.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&all_sr_blocks=1047393001_377033255_2_1_0&checkin=2025-11-01&checkout=2025-11-05&dest_id=10473930&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1047393001_377033255_2_1_0&hpos=1&matching_block_id=1047393001_377033255_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1047393001_377033255_2_1_0__31660&srepoch=1759421509&srpvid=2fc671ddeea902a0&type=total&ucfs=1&
BOOKING_1,booking,Us,Double Room,twin bedsand,Twin,Normal,0,"['650 m²', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Bathrobe', 'Toilet', 'Towels', 'Linens', 'Desk', 'Tea/Coffee maker', 'Microwave', 'Heating', 'Wake-up service', 'Dining table', 'Clothes rack', 'Toilet paper']",7026.0,1019.0,8045.0,2025-11-22,2025-11-23,https://www.booking.com/hotel/us/econolodge-andalusia.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&all_sr_blocks=1047393001_377033255_2_1_0&checkin=2025-11-01&checkout=2025-11-05&dest_id=10473930&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1047393001_377033255_2_1_0&hpos=1&matching_block_id=1047393001_377033255_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1047393001_377033255_2_1_0__31660&srepoch=1759421509&srpvid=2fc671ddeea902a0&type=total&ucfs=1&
BOOKING_2,booking,Best Western Plover-Stevens Point Hotel & Conference Center,King Suite with Spa Bath,king bed,King,Suite,4,"['1 room', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Extra long beds (> 2 metres)', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",9764.0,1318.0,11082.0,2025-11-10,2025-11-11,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Best Western Plover-Stevens Point Hotel & Conference Center,King Room,king bed,King,Normal,0,"['1 room', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Single-room AC for guest accommodation', 'Carbon monoxide detector']",7989.0,1078.0,9067.0,2025-11-10,2025-11-11,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Best Western Plover-Stevens Point Hotel & Conference Center,King Room with Roll-In Shower - Disability Access/Non-Smoking,king bed,King,Normal,2,"['1 room', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Extra long beds (> 2 metres)', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",7989.0,1078.0,9067.0,2025-11-10,2025-11-11,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Best Western Plover-Stevens Point Hotel & Conference Center,Queen Room with Two Queen Beds - Non-Smoking,queen beds,Queen,Normal,0,"['1 room', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Single-room AC for guest accommodation', 'Carbon monoxide detector']",8876.0,1198.0,10074.0,2025-11-10,2025-11-11,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Best Western Plover-Stevens Point Hotel & Conference Center,Family King Suite with Sofa Bed - Non-Smoking,king bedand1 sofa bed,King,Suite,2,"['Private suite', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Sofa', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Sofa bed', 'Single-room AC for guest accommodation', 'Carbon monoxide detector']",11096.0,1498.0,12594.0,2025-11-10,2025-11-11,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
